INDEX1 LOG(N) INDEX2 LOG(G)   CII(erg/cm2/s)
    20  6.000      2  0.000     0.870E-10
    20  6.000      3  0.250     0.906E-09
    20  6.000      4  0.500     0.739E-08
    20  6.000      5  0.750     0.805E-07
    20  6.000      6  1.000     0.518E-06
    20  6.000      7  1.250     0.124E-05
    20  6.000      8  1.500     0.500E-05
    20  6.000      9  1.750     0.159E-04
    20  6.000     10  2.000     0.446E-04
    20  6.000     11  2.250     0.111E-03
    20  6.000     12  2.500     0.242E-03
    20  6.000     13  2.750     0.469E-03
    20  6.000     14  3.000     0.794E-03
    20  6.000     15  3.250     0.114E-02
    20  6.000     16  3.500     0.143E-02
    20  6.000     17  3.750     0.177E-02
    20  6.000     18  4.000     0.222E-02
    20  6.000     19  4.250     0.278E-02
    20  6.000     20  4.500     0.341E-02
    20  6.000     21  4.750     0.403E-02
    20  6.000     22  5.000     0.459E-02
    20  6.000     23  5.250     0.515E-02
    20  6.000     24  5.500     0.601E-02
    20  6.000     25  5.750     0.660E-02
    20  6.000     26  6.000     0.752E-02
    20  6.000     27  6.250     0.812E-02
    20  6.000     28  6.500     0.871E-02
    21  6.250      0 -0.500     0.134E-12
    21  6.250      1 -0.250     0.141E-11
    21  6.250      2  0.000     0.151E-10
    21  6.250      3  0.250     0.149E-09
    21  6.250      4  0.500     0.125E-08
    21  6.250      5  0.750     0.162E-07
    21  6.250      6  1.000     0.151E-06
    21  6.250      7  1.250     0.385E-06
    21  6.250      8  1.500     0.131E-05
    21  6.250      9  1.750     0.479E-05
    21  6.250     10  2.000     0.157E-04
    21  6.250     11  2.250     0.461E-04
    21  6.250     12  2.500     0.118E-03
    21  6.250     13  2.750     0.261E-03
    21  6.250     14  3.000     0.486E-03
    21  6.250     15  3.250     0.719E-03
    21  6.250     16  3.500     0.914E-03
    21  6.250     17  3.750     0.115E-02
    21  6.250     18  4.000     0.154E-02
    21  6.250     19  4.250     0.207E-02
    21  6.250     20  4.500     0.271E-02
    21  6.250     21  4.750     0.342E-02
    21  6.250     22  5.000     0.385E-02
    21  6.250     23  5.250     0.474E-02
    21  6.250     24  5.500     0.532E-02
    21  6.250     25  5.750     0.627E-02
    21  6.250     26  6.000     0.687E-02
    21  6.250     27  6.250     0.785E-02
    21  6.250     28  6.500     0.845E-02
    22  6.500      0 -0.500     0.414E-13
    22  6.500      1 -0.250     0.369E-12
    22  6.500      2  0.000     0.334E-11
    22  6.500      3  0.250     0.295E-10
    22  6.500      4  0.500     0.234E-09
    22  6.500      5  0.750     0.325E-08
    22  6.500      6  1.000     0.382E-07
    22  6.500      7  1.250     0.117E-06
    22  6.500      8  1.500     0.287E-06
    22  6.500      9  1.750     0.118E-05
    22  6.500     10  2.000     0.443E-05
    22  6.500     11  2.250     0.154E-04
    22  6.500     12  2.500     0.471E-04
    22  6.500     13  2.750     0.123E-03
    22  6.500     14  3.000     0.260E-03
    22  6.500     15  3.250     0.415E-03
    22  6.500     16  3.500     0.551E-03
    22  6.500     17  3.750     0.701E-03
    22  6.500     18  4.000     0.973E-03
    22  6.500     19  4.250     0.142E-02
    22  6.500     20  4.500     0.203E-02
    22  6.500     21  4.750     0.274E-02
    22  6.500     22  5.000     0.350E-02
    22  6.500     23  5.250     0.407E-02
    22  6.500     24  5.500     0.465E-02
    22  6.500     25  5.750     0.564E-02
    22  6.500     26  6.000     0.623E-02
    22  6.500     27  6.250     0.724E-02
    22  6.500     28  6.500     0.784E-02
    23  6.750      0 -0.500     0.141E-13
    23  6.750      1 -0.250     0.115E-12
    23  6.750      2  0.000     0.913E-12
    23  6.750      3  0.250     0.706E-11
    23  6.750      4  0.500     0.510E-10
    23  6.750      5  0.750     0.700E-09
    23  6.750      6  1.000     0.960E-08
    23  6.750      7  1.250     0.319E-07
    23  6.750      8  1.500     0.548E-07
    23  6.750      9  1.750     0.241E-06
    23  6.750     10  2.000     0.100E-05
    23  6.750     11  2.250     0.400E-05
    23  6.750     12  2.500     0.147E-04
    23  6.750     13  2.750     0.470E-04
    23  6.750     14  3.000     0.118E-03
    23  6.750     15  3.250     0.215E-03
    23  6.750     16  3.500     0.311E-03
    23  6.750     17  3.750     0.401E-03
    23  6.750     18  4.000     0.541E-03
    23  6.750     19  4.250     0.859E-03
    23  6.750     20  4.500     0.139E-02
    23  6.750     21  4.750     0.206E-02
    23  6.750     22  5.000     0.280E-02
    23  6.750     23  5.250     0.343E-02
